"Proc_Name","Proc_Path","Proc_CommandLine","Proc_ParentProcessId","Proc_ProcessId","Proc_Hash"
"winlogon.exe","C:\WINDOWS\system32\winlogon.exe","winlogon.exe","1996","2088","15413BDC319FB4D3DA2A12F7C4F7517C51A340D6DCB99ABDE20ECD51E5764693"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p","1840","2188","324451797AC909A4DD40C7A2F7347EF91F6B7C786941AD5035F609C0FC15EDAA"
"fontdrvhost.exe","C:\WINDOWS\system32\fontdrvhost.exe","""fontdrvhost.exe""","2004","2220","AFAD1E3D6D57770C2CD29A00DF6315B002F2684DF36FCCCDFFEE52DB763CD29D"
"fontdrvhost.exe","C:\WINDOWS\system32\fontdrvhost.exe","""fontdrvhost.exe""","2088","2276","AFAD1E3D6D57770C2CD29A00DF6315B002F2684DF36FCCCDFFEE52DB763CD29D"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","C:\WINDOWS\system32\svchost.exe -k RPCSS -p","1840","2324","324451797AC909A4DD40C7A2F7347EF91F6B7C786941AD5035F609C0FC15EDAA"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p -s LSM","1840","2368","324451797AC909A4DD40C7A2F7347EF91F6B7C786941AD5035F609C0FC15EDAA"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p -s HvHost","1840","2512","324451797AC909A4DD40C7A2F7347EF91F6B7C786941AD5035F609C0FC15EDAA"
"svchost.exe","C:\WINDOWS\System32\svchost.exe","C:\WINDOWS\System32\svchost.exe -k NetworkService -s TermService","1840","2524","324451797AC909A4DD40C7A2F7347EF91F6B7C786941AD5035F609C0FC15EDAA"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","C:\WINDOWS\system32\svchost.exe -k LocalService -p -s BthAvctpSvc","1840","2608","324451797AC909A4DD40C7A2F7347EF91F6B7C786941AD5035F609C0FC15EDAA"
"svchost.exe","C:\WINDOWS\System32\svchost.exe","C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted -p -s lmhosts","1840","2616","324451797AC909A4DD40C7A2F7347EF91F6B7C786941AD5035F609C0FC15EDAA"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","C:\WINDOWS\system32\svchost.exe -k LocalService -p -s bthserv","1840","2624","324451797AC909A4DD40C7A2F7347EF91F6B7C786941AD5035F609C0FC15EDAA"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -s BTAGService","1840","2632","324451797AC909A4DD40C7A2F7347EF91F6B7C786941AD5035F609C0FC15EDAA"
"dwm.exe","C:\WINDOWS\system32\dwm.exe","""dwm.exe""","2088","2712","D38FF088C76BBF67B72CA00D425CFC995C7313FE48342E7E5CF6E798ABD425BD"
"svchost.exe","C:\WINDOWS\System32\svchost.exe","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p -s NcbService","1840","2848","324451797AC909A4DD40C7A2F7347EF91F6B7C786941AD5035F609C0FC15EDAA"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s TimeBrokerSvc","1840","2856","324451797AC909A4DD40C7A2F7347EF91F6B7C786941AD5035F609C0FC15EDAA"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","C:\WINDOWS\system32\svchost.exe -k LocalService -p -s nsi","1840","2964","324451797AC909A4DD40C7A2F7347EF91F6B7C786941AD5035F609C0FC15EDAA"
